[2018-08-18 15:41:56.781] Starting up round ID 1985.
[2018-08-18 15:41:56.781] -------------------------
[2018-08-18 15:59:05.156] PDA: AzlanonPc/(Jetra Norlan) (PDA: shaft miner PDA to Breaks-The-Bad (Research Director)) "i need that explorer suit right now" (Mining Dock (88, 111, 2))
[2018-08-18 15:59:07.578] PDA: Red Axolotl/(Breaks-The-Bad) (PDA: research director PDA to Dmitry Alexander (Janitor)) "Open please I gotta talk to you" (Central Primary Hallway (120, 111, 2))
[2018-08-18 15:59:14.528] PDA: Red Axolotl/(Breaks-The-Bad) (PDA: research director PDA to Jetra Norlan (Shaft Miner)) "uhh" (Central Primary Hallway (120, 111, 2))
[2018-08-18 15:59:46.385] PDA: AzlanonPc/(Jetra Norlan) (PDA: shaft miner PDA to Breaks-The-Bad (Research Director)) "you are a RD not a miner i need it more than you and you stole it" (Cargo Office (86, 116, 2))
[2018-08-18 16:04:30.007] PDA: BoxxyBooty/(Bumps) (PDA: chief engineer PDA to N.U.T (AI)) "Make sure to make it look like the whole crew is still human other then moffs and lizards" (Brig Control (116, 175, 2))
[2018-08-18 16:04:37.625] PDA: Ceanox/(N.U.T) (PDA: �PDA to Bumps (Chief Engineer)) "Got it." (AI Chamber (150, 32, 2))
[2018-08-18 16:06:07.235] PDA: BoxxyBooty/(Bumps) (PDA: chief engineer PDA to N.U.T (AI)) "Prints:84ee67735148b4bc26764b4387dfee43" (Detective's Office (100, 157, 2))
[2018-08-18 16:20:44.930] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
[2018-08-18 16:20:45.304] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
[2018-08-18 16:20:45.683] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
[2018-08-18 16:20:45.978] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
[2018-08-18 16:20:46.325] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
[2018-08-18 16:20:46.732] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
[2018-08-18 16:20:46.998] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
[2018-08-18 16:20:47.397] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
[2018-08-18 16:20:47.736] PDA: redaxolotl/(Byrne Jyllian) (PDA: message monitor console) sent "ERROR, SYSTEMS FAILING, PLEASE SHUTDOWN." to N.U.T (AI) (Syndicate Lavaland Telecommunications (154, 85, 5))
