[2018-08-30 11:35:47.596] Starting up round ID 2128.
[2018-08-30 11:35:47.596] -------------------------
[2018-08-30 11:35:47.598] GAME: Round ID: 2128
[2018-08-30 11:35:47.733] ADMIN: Loading Banlist
[2018-08-30 11:35:48.729] GAME: Saved mode is 'secret'
[2018-08-30 11:35:59.134] GAME: Z-level Away Mission loaded at at 102,102,13
[2018-08-30 11:35:59.187] GAME: Hierophant's Arena loaded at at 172,92,5
[2018-08-30 11:35:59.213] GAME: Ruin of Pride loaded at at 35,146,5
[2018-08-30 11:35:59.341] GAME: Biodome Clown Planet loaded at at 126,42,5
[2018-08-30 11:35:59.363] GAME: Blood-Drunk Miner loaded at at 202,40,5
[2018-08-30 11:35:59.406] GAME: Ruin of Gluttony loaded at at 57,77,5
[2018-08-30 11:35:59.433] GAME: Ruin of Envy loaded at at 42,167,5
[2018-08-30 11:35:59.437] GAME: Ripley loaded at at 143,195,5
[2018-08-30 11:35:59.523] GAME: Animal Hospital loaded at at 147,96,5
[2018-08-30 11:35:59.596] GAME: Dead God loaded at at 168,155,5
[2018-08-30 11:35:59.631] GAME: Makeshift Shelter loaded at at 159,25,5
[2018-08-30 11:35:59.635] GAME: Ancient Puzzle loaded at at 218,46,5
[2018-08-30 11:35:59.966] GAME: Crashed Clown Ship loaded at at 140,135,4
[2018-08-30 11:36:00.141] GAME: Abandoned Telecommunications Satellite loaded at at 113,68,8
[2018-08-30 11:36:00.157] GAME: Asteroid 1 loaded at at 219,207,4
[2018-08-30 11:36:00.357] GAME: Derelict Tradepost loaded at at 166,189,10
[2018-08-30 11:36:00.402] GAME: Derelict 3 loaded at at 162,149,9
[2018-08-30 11:36:00.448] GAME: Waylaid Buses loaded at at 34,205,10
[2018-08-30 11:36:00.990] GAME: The Twin-Nexus Hotel loaded at at 126,135,8
[2018-08-30 11:36:01.067] GAME: NT Medical Ship loaded at at 23,101,3
[2018-08-30 11:36:01.085] GAME: Abandoned Teleporter loaded at at 166,79,4
[2018-08-30 11:36:01.093] GAME: Whiteship Dock loaded at at 180,201,7
[2018-08-30 11:36:01.207] GAME: Gondoland loaded at at 51,41,6
[2018-08-30 11:36:01.460] GAME: Syndicate Ambush loaded at at 60,71,3
[2018-08-30 11:36:01.579] GAME: DK Excavator 453 loaded at at 29,24,3
[2018-08-30 11:36:01.611] GAME: Strange Ship loaded at at 96,174,4
[2018-08-30 11:36:01.631] GAME: Detached Teleporter loaded at at 121,44,8
[2018-08-30 11:36:01.672] GAME: Disposal Facility 17 loaded at at 213,56,7
[2018-08-30 11:36:14.818] GAME: [�APLU "Miner"] �APLU "Miner" created. (Lavaland Wastes (145, 197, 5))
[2018-08-30 11:36:14.819] GAME: [�APLU "Miner"] The diamond-tipped exosuit drill initialized. (Lavaland Wastes (145, 197, 5))
[2018-08-30 11:36:14.819] GAME: [�APLU "Miner"] The hydraulic clamp initialized. (Lavaland Wastes (145, 197, 5))
[2018-08-30 11:36:14.820] GAME: [�APLU "Miner"] The exosuit mining scanner initialized. (Lavaland Wastes (145, 197, 5))
[2018-08-30 11:36:14.994] GAME: *no key*/(Eustace Lombardi) Eustace Lombardi name changed from Eustace Lombardi to Button (Unexplored Location (158, 144, 4))
[2018-08-30 11:36:15.032] GAME: *no key*/(Star Briggs) Star Briggs name changed from Star Briggs to Jingle (Unexplored Location (159, 146, 4))
[2018-08-30 11:36:15.066] GAME: *no key*/(Anastasia Werry) Anastasia Werry name changed from Anastasia Werry to Honkerbelle (Unexplored Location (161, 143, 4))
[2018-08-30 11:37:14.105] GAME: Backup Shuttle loaded at at 84,206,1
[2018-08-30 11:37:14.240] GAME: assault pod (Default) loaded at at 85,207,1
[2018-08-30 11:37:14.352] GAME: fancy transport ferry loaded at at 82,208,1
[2018-08-30 11:37:14.657] GAME: Box Station Emergency Shuttle loaded at at 83,199,1
[2018-08-30 11:37:15.281] GAME: basic syndicate infiltrator loaded at at 80,199,1
[2018-08-30 11:37:15.726] GAME: cargo ferry (Box) loaded at at 85,204,1
[2018-08-30 11:37:16.015] GAME: escape pod (Default) loaded at at 87,208,1
[2018-08-30 11:37:16.058] GAME: escape pod (Default) loaded at at 87,208,1
[2018-08-30 11:37:16.205] GAME: auxilliary base (Default) loaded at at 84,206,1
[2018-08-30 11:37:16.477] GAME: arrival shuttle (Box) loaded at at 81,207,1
[2018-08-30 11:37:16.646] GAME: mining shuttle (Box) loaded at at 86,207,1
[2018-08-30 11:37:16.752] GAME: labour shuttle (Box) loaded at at 86,206,1
[2018-08-30 11:37:16.836] GAME: escape pod (Default) loaded at at 87,208,1
[2018-08-30 11:37:16.881] GAME: escape pod (Default) loaded at at 87,208,1
[2018-08-30 11:37:18.144] GAME: Hospital Ship loaded at at 73,202,1
[2018-08-30 11:37:19.194] GAME: Syndicate Fighter loaded at at 86,206,1
[2018-08-30 11:37:19.525] GAME: Small Freighter loaded at at 78,205,1
[2018-08-30 11:37:20.033] GAME: Pirate Cutter loaded at at 77,204,1
[2018-08-30 11:37:20.453] GAME: Syndicate Dropship loaded at at 81,207,1
[2018-08-30 11:38:25.830] ACCESS: Login: Arrfur from 82.7.115.222-932944477 || BYOND v512.1447
[2018-08-30 11:38:25.899] ACCESS: Mob Login: Arrfur/(Arrfur) was assigned to a /mob/dead/new_player
[2018-08-30 11:38:25.904] GAME: Arrfur/(Arrfur) Client Arrfur/(Arrfur) has taken ownership of mob Arrfur (start area (8, 174, 1))
[2018-08-30 11:39:35.987] GAME: Arrfur/(Arrfur) has been selected as a traitor
[2018-08-30 11:39:36.481] GAME: *no key*/(Arrfur) *no key*/(Arrfur) is no longer owning mob Arrfur (start area (8, 174, 1))
[2018-08-30 11:39:36.481] ACCESS: Mob Login: Arrfur/(Wack Grandpap) was assigned to a /mob/living/carbon/human
